ward_code,ward_name,population_total,population_density,gridded_population_value,aggregation_method,spatial_resolution,unit,truth_class,source_kind,freshness_state,source_ref,notes
KE-WARD-1282,Kachien'G,24459,113.800,24459.462,ward_sum_from_worldpop_100m_grid_pixel_centers,100m,people_per_km2,spatially_aggregated_source,live,fresh,https://data.worldpop.org/GIS/Population/Global_2015_2030/R2025A/2026/KEN/v1/100m/constrained/ken_pop_2026_CN_100m_R2025A_v1.tif,WorldPop G2_CN_POP_R25A_100m KEN 2026 v1; ward_area_km2=214.935; assigned_pixels=6684; polygon_sha256=5554c913ff082f7cc2536c772a9190ca81d3b1a7370d872800ff540ce40f6997; pixel-center aggregation.
KE-WARD-1271,Kakrao,56682,581.230,56682.384,ward_sum_from_worldpop_100m_grid_pixel_centers,100m,people_per_km2,spatially_aggregated_source,live,fresh,https://data.worldpop.org/GIS/Population/Global_2015_2030/R2025A/2026/KEN/v1/100m/constrained/ken_pop_2026_CN_100m_R2025A_v1.tif,WorldPop G2_CN_POP_R25A_100m KEN 2026 v1; ward_area_km2=97.521; assigned_pixels=11064; polygon_sha256=5554c913ff082f7cc2536c772a9190ca81d3b1a7370d872800ff540ce40f6997; pixel-center aggregation.
KE-WARD-1286,Kaler,19302,365.824,19302.057,ward_sum_from_worldpop_100m_grid_pixel_centers,100m,people_per_km2,spatially_aggregated_source,live,fresh,https://data.worldpop.org/GIS/Population/Global_2015_2030/R2025A/2026/KEN/v1/100m/constrained/ken_pop_2026_CN_100m_R2025A_v1.tif,WorldPop G2_CN_POP_R25A_100m KEN 2026 v1; ward_area_km2=52.763; assigned_pixels=5752; polygon_sha256=5554c913ff082f7cc2536c772a9190ca81d3b1a7370d872800ff540ce40f6997; pixel-center aggregation.
KE-WARD-1283,Kanyasa,21782,191.378,21781.942,ward_sum_from_worldpop_100m_grid_pixel_centers,100m,people_per_km2,spatially_aggregated_source,live,fresh,https://data.worldpop.org/GIS/Population/Global_2015_2030/R2025A/2026/KEN/v1/100m/constrained/ken_pop_2026_CN_100m_R2025A_v1.tif,WorldPop G2_CN_POP_R25A_100m KEN 2026 v1; ward_area_km2=113.816; assigned_pixels=8668; polygon_sha256=5554c913ff082f7cc2536c772a9190ca81d3b1a7370d872800ff540ce40f6997; pixel-center aggregation.
KE-WARD-1272,Kwa,22339,558.436,22338.927,ward_sum_from_worldpop_100m_grid_pixel_centers,100m,people_per_km2,spatially_aggregated_source,live,fresh,https://data.worldpop.org/GIS/Population/Global_2015_2030/R2025A/2026/KEN/v1/100m/constrained/ken_pop_2026_CN_100m_R2025A_v1.tif,WorldPop G2_CN_POP_R25A_100m KEN 2026 v1; ward_area_km2=40.003; assigned_pixels=4506; polygon_sha256=5554c913ff082f7cc2536c772a9190ca81d3b1a7370d872800ff540ce40f6997; pixel-center aggregation.
KE-WARD-1285,Macalder/Kanyarwanda,49443,353.087,49443.392,ward_sum_from_worldpop_100m_grid_pixel_centers,100m,people_per_km2,spatially_aggregated_source,live,fresh,https://data.worldpop.org/GIS/Population/Global_2015_2030/R2025A/2026/KEN/v1/100m/constrained/ken_pop_2026_CN_100m_R2025A_v1.tif,WorldPop G2_CN_POP_R25A_100m KEN 2026 v1; ward_area_km2=140.032; assigned_pixels=13732; polygon_sha256=5554c913ff082f7cc2536c772a9190ca81d3b1a7370d872800ff540ce40f6997; pixel-center aggregation.
KE-WARD-1292,Makerero,18466,636.991,18465.892,ward_sum_from_worldpop_100m_grid_pixel_centers,100m,people_per_km2,spatially_aggregated_source,live,fresh,https://data.worldpop.org/GIS/Population/Global_2015_2030/R2025A/2026/KEN/v1/100m/constrained/ken_pop_2026_CN_100m_R2025A_v1.tif,WorldPop G2_CN_POP_R25A_100m KEN 2026 v1; ward_area_km2=28.989; assigned_pixels=3181; polygon_sha256=5554c913ff082f7cc2536c772a9190ca81d3b1a7370d872800ff540ce40f6997; pixel-center aggregation.
KE-WARD-1293,Masaba,41413,461.404,41413.384,ward_sum_from_worldpop_100m_grid_pixel_centers,100m,people_per_km2,spatially_aggregated_source,live,fresh,https://data.worldpop.org/GIS/Population/Global_2015_2030/R2025A/2026/KEN/v1/100m/constrained/ken_pop_2026_CN_100m_R2025A_v1.tif,WorldPop G2_CN_POP_R25A_100m KEN 2026 v1; ward_area_km2=89.755; assigned_pixels=9138; polygon_sha256=5554c913ff082f7cc2536c772a9190ca81d3b1a7370d872800ff540ce40f6997; pixel-center aggregation.
KE-WARD-1288,Muhuru,18857,76.734,18857.419,ward_sum_from_worldpop_100m_grid_pixel_centers,100m,people_per_km2,spatially_aggregated_source,live,fresh,https://data.worldpop.org/GIS/Population/Global_2015_2030/R2025A/2026/KEN/v1/100m/constrained/ken_pop_2026_CN_100m_R2025A_v1.tif,WorldPop G2_CN_POP_R25A_100m KEN 2026 v1; ward_area_km2=245.752; assigned_pixels=4621; polygon_sha256=5554c913ff082f7cc2536c772a9190ca81d3b1a7370d872800ff540ce40f6997; pixel-center aggregation.
KE-WARD-1284,North Kadem,46747,132.705,46747.259,ward_sum_from_worldpop_100m_grid_pixel_centers,100m,people_per_km2,spatially_aggregated_source,live,fresh,https://data.worldpop.org/GIS/Population/Global_2015_2030/R2025A/2026/KEN/v1/100m/constrained/ken_pop_2026_CN_100m_R2025A_v1.tif,WorldPop G2_CN_POP_R25A_100m KEN 2026 v1; ward_area_km2=352.264; assigned_pixels=18845; polygon_sha256=5554c913ff082f7cc2536c772a9190ca81d3b1a7370d872800ff540ce40f6997; pixel-center aggregation.
KE-WARD-1261,North Kamagambo,24495,527.767,24494.738,ward_sum_from_worldpop_100m_grid_pixel_centers,100m,people_per_km2,spatially_aggregated_source,live,fresh,https://data.worldpop.org/GIS/Population/Global_2015_2030/R2025A/2026/KEN/v1/100m/constrained/ken_pop_2026_CN_100m_R2025A_v1.tif,WorldPop G2_CN_POP_R25A_100m KEN 2026 v1; ward_area_km2=46.412; assigned_pixels=5228; polygon_sha256=5554c913ff082f7cc2536c772a9190ca81d3b1a7370d872800ff540ce40f6997; pixel-center aggregation.
KE-WARD-1278,North Kanyamkago,42793,383.807,42793.088,ward_sum_from_worldpop_100m_grid_pixel_centers,100m,people_per_km2,spatially_aggregated_source,live,fresh,https://data.worldpop.org/GIS/Population/Global_2015_2030/R2025A/2026/KEN/v1/100m/constrained/ken_pop_2026_CN_100m_R2025A_v1.tif,WorldPop G2_CN_POP_R25A_100m KEN 2026 v1; ward_area_km2=111.496; assigned_pixels=11821; polygon_sha256=5554c913ff082f7cc2536c772a9190ca81d3b1a7370d872800ff540ce40f6997; pixel-center aggregation.
KE-WARD-1265,North Sakwa,29195,497.139,29195.367,ward_sum_from_worldpop_100m_grid_pixel_centers,100m,people_per_km2,spatially_aggregated_source,live,fresh,https://data.worldpop.org/GIS/Population/Global_2015_2030/R2025A/2026/KEN/v1/100m/constrained/ken_pop_2026_CN_100m_R2025A_v1.tif,WorldPop G2_CN_POP_R25A_100m KEN 2026 v1; ward_area_km2=58.727; assigned_pixels=6475; polygon_sha256=5554c913ff082f7cc2536c772a9190ca81d3b1a7370d872800ff540ce40f6997; pixel-center aggregation.
KE-WARD-1298,Ntimaru East,18582,761.426,18582.000,ward_sum_from_worldpop_100m_grid_pixel_centers,100m,people_per_km2,spatially_aggregated_source,live,fresh,https://data.worldpop.org/GIS/Population/Global_2015_2030/R2025A/2026/KEN/v1/100m/constrained/ken_pop_2026_CN_100m_R2025A_v1.tif,WorldPop G2_CN_POP_R25A_100m KEN 2026 v1; ward_area_km2=24.404; assigned_pixels=2809; polygon_sha256=5554c913ff082f7cc2536c772a9190ca81d3b1a7370d872800ff540ce40f6997; pixel-center aggregation.
KE-WARD-1297,Ntimaru West,28434,854.877,28433.590,ward_sum_from_worldpop_100m_grid_pixel_centers,100m,people_per_km2,spatially_aggregated_source,live,fresh,https://data.worldpop.org/GIS/Population/Global_2015_2030/R2025A/2026/KEN/v1/100m/constrained/ken_pop_2026_CN_100m_R2025A_v1.tif,WorldPop G2_CN_POP_R25A_100m KEN 2026 v1; ward_area_km2=33.260; assigned_pixels=3693; polygon_sha256=5554c913ff082f7cc2536c772a9190ca81d3b1a7370d872800ff540ce40f6997; pixel-center aggregation.
KE-WARD-1299,Nyabasi East,31751,571.078,31750.551,ward_sum_from_worldpop_100m_grid_pixel_centers,100m,people_per_km2,spatially_aggregated_source,live,fresh,https://data.worldpop.org/GIS/Population/Global_2015_2030/R2025A/2026/KEN/v1/100m/constrained/ken_pop_2026_CN_100m_R2025A_v1.tif,WorldPop G2_CN_POP_R25A_100m KEN 2026 v1; ward_area_km2=55.598; assigned_pixels=6253; polygon_sha256=5554c913ff082f7cc2536c772a9190ca81d3b1a7370d872800ff540ce40f6997; pixel-center aggregation.
KE-WARD-1300,Nyabasi West,42351,536.578,42351.415,ward_sum_from_worldpop_100m_grid_pixel_centers,100m,people_per_km2,spatially_aggregated_source,live,fresh,https://data.worldpop.org/GIS/Population/Global_2015_2030/R2025A/2026/KEN/v1/100m/constrained/ken_pop_2026_CN_100m_R2025A_v1.tif,WorldPop G2_CN_POP_R25A_100m KEN 2026 v1; ward_area_km2=78.929; assigned_pixels=8281; polygon_sha256=5554c913ff082f7cc2536c772a9190ca81d3b1a7370d872800ff540ce40f6997; pixel-center aggregation.
KE-WARD-1295,Nyamosense/Komosoko,43403,598.114,43403.234,ward_sum_from_worldpop_100m_grid_pixel_centers,100m,people_per_km2,spatially_aggregated_source,live,fresh,https://data.worldpop.org/GIS/Population/Global_2015_2030/R2025A/2026/KEN/v1/100m/constrained/ken_pop_2026_CN_100m_R2025A_v1.tif,WorldPop G2_CN_POP_R25A_100m KEN 2026 v1; ward_area_km2=72.567; assigned_pixels=7751; polygon_sha256=5554c913ff082f7cc2536c772a9190ca81d3b1a7370d872800ff540ce40f6997; pixel-center aggregation.
KE-WARD-1275,Ragana-Oruba,43921,1498.413,43921.188,ward_sum_from_worldpop_100m_grid_pixel_centers,100m,people_per_km2,spatially_aggregated_source,live,fresh,https://data.worldpop.org/GIS/Population/Global_2015_2030/R2025A/2026/KEN/v1/100m/constrained/ken_pop_2026_CN_100m_R2025A_v1.tif,WorldPop G2_CN_POP_R25A_100m KEN 2026 v1; ward_area_km2=29.312; assigned_pixels=3010; polygon_sha256=5554c913ff082f7cc2536c772a9190ca81d3b1a7370d872800ff540ce40f6997; pixel-center aggregation.
KE-WARD-1264,South Kamagambo,36918,537.117,36918.026,ward_sum_from_worldpop_100m_grid_pixel_centers,100m,people_per_km2,spatially_aggregated_source,live,fresh,https://data.worldpop.org/GIS/Population/Global_2015_2030/R2025A/2026/KEN/v1/100m/constrained/ken_pop_2026_CN_100m_R2025A_v1.tif,WorldPop G2_CN_POP_R25A_100m KEN 2026 v1; ward_area_km2=68.734; assigned_pixels=7542; polygon_sha256=5554c913ff082f7cc2536c772a9190ca81d3b1a7370d872800ff540ce40f6997; pixel-center aggregation.
KE-WARD-1280,South Kanyamkago,38945,581.721,38945.076,ward_sum_from_worldpop_100m_grid_pixel_centers,100m,people_per_km2,spatially_aggregated_source,live,fresh,https://data.worldpop.org/GIS/Population/Global_2015_2030/R2025A/2026/KEN/v1/100m/constrained/ken_pop_2026_CN_100m_R2025A_v1.tif,WorldPop G2_CN_POP_R25A_100m KEN 2026 v1; ward_area_km2=66.948; assigned_pixels=7534; polygon_sha256=5554c913ff082f7cc2536c772a9190ca81d3b1a7370d872800ff540ce40f6997; pixel-center aggregation.
KE-WARD-1266,South Sakwa,48531,452.949,48530.583,ward_sum_from_worldpop_100m_grid_pixel_centers,100m,people_per_km2,spatially_aggregated_source,live,fresh,https://data.worldpop.org/GIS/Population/Global_2015_2030/R2025A/2026/KEN/v1/100m/constrained/ken_pop_2026_CN_100m_R2025A_v1.tif,WorldPop G2_CN_POP_R25A_100m KEN 2026 v1; ward_area_km2=107.144; assigned_pixels=9859; polygon_sha256=5554c913ff082f7cc2536c772a9190ca81d3b1a7370d872800ff540ce40f6997; pixel-center aggregation.
KE-WARD-1270,Suna Central,37891,1446.434,37891.094,ward_sum_from_worldpop_100m_grid_pixel_centers,100m,people_per_km2,spatially_aggregated_source,live,fresh,https://data.worldpop.org/GIS/Population/Global_2015_2030/R2025A/2026/KEN/v1/100m/constrained/ken_pop_2026_CN_100m_R2025A_v1.tif,WorldPop G2_CN_POP_R25A_100m KEN 2026 v1; ward_area_km2=26.196; assigned_pixels=2977; polygon_sha256=5554c913ff082f7cc2536c772a9190ca81d3b1a7370d872800ff540ce40f6997; pixel-center aggregation.
KE-WARD-1294,Tagare,39161,821.233,39160.556,ward_sum_from_worldpop_100m_grid_pixel_centers,100m,people_per_km2,spatially_aggregated_source,live,fresh,https://data.worldpop.org/GIS/Population/Global_2015_2030/R2025A/2026/KEN/v1/100m/constrained/ken_pop_2026_CN_100m_R2025A_v1.tif,WorldPop G2_CN_POP_R25A_100m KEN 2026 v1; ward_area_km2=47.685; assigned_pixels=5452; polygon_sha256=5554c913ff082f7cc2536c772a9190ca81d3b1a7370d872800ff540ce40f6997; pixel-center aggregation.
KE-WARD-1276,Wasimbete,42438,450.970,42437.596,ward_sum_from_worldpop_100m_grid_pixel_centers,100m,people_per_km2,spatially_aggregated_source,live,fresh,https://data.worldpop.org/GIS/Population/Global_2015_2030/R2025A/2026/KEN/v1/100m/constrained/ken_pop_2026_CN_100m_R2025A_v1.tif,WorldPop G2_CN_POP_R25A_100m KEN 2026 v1; ward_area_km2=94.103; assigned_pixels=9925; polygon_sha256=5554c913ff082f7cc2536c772a9190ca81d3b1a7370d872800ff540ce40f6997; pixel-center aggregation.
KE-WARD-1274,Wasweta Ii,31551,610.837,31550.830,ward_sum_from_worldpop_100m_grid_pixel_centers,100m,people_per_km2,spatially_aggregated_source,live,fresh,https://data.worldpop.org/GIS/Population/Global_2015_2030/R2025A/2026/KEN/v1/100m/constrained/ken_pop_2026_CN_100m_R2025A_v1.tif,WorldPop G2_CN_POP_R25A_100m KEN 2026 v1; ward_area_km2=51.652; assigned_pixels=5776; polygon_sha256=5554c913ff082f7cc2536c772a9190ca81d3b1a7370d872800ff540ce40f6997; pixel-center aggregation.
KE-WARD-1277,West Kanyamkago,38863,372.284,38863.052,ward_sum_from_worldpop_100m_grid_pixel_centers,100m,people_per_km2,spatially_aggregated_source,live,fresh,https://data.worldpop.org/GIS/Population/Global_2015_2030/R2025A/2026/KEN/v1/100m/constrained/ken_pop_2026_CN_100m_R2025A_v1.tif,WorldPop G2_CN_POP_R25A_100m KEN 2026 v1; ward_area_km2=104.391; assigned_pixels=11349; polygon_sha256=5554c913ff082f7cc2536c772a9190ca81d3b1a7370d872800ff540ce40f6997; pixel-center aggregation.
KE-WARD-1267,West Sakwa,30686,507.929,30686.145,ward_sum_from_worldpop_100m_grid_pixel_centers,100m,people_per_km2,spatially_aggregated_source,live,fresh,https://data.worldpop.org/GIS/Population/Global_2015_2030/R2025A/2026/KEN/v1/100m/constrained/ken_pop_2026_CN_100m_R2025A_v1.tif,WorldPop G2_CN_POP_R25A_100m KEN 2026 v1; ward_area_km2=60.414; assigned_pixels=6632; polygon_sha256=5554c913ff082f7cc2536c772a9190ca81d3b1a7370d872800ff540ce40f6997; pixel-center aggregation.
KE-WARD-1273,Wiga,52119,534.963,52118.618,ward_sum_from_worldpop_100m_grid_pixel_centers,100m,people_per_km2,spatially_aggregated_source,live,fresh,https://data.worldpop.org/GIS/Population/Global_2015_2030/R2025A/2026/KEN/v1/100m/constrained/ken_pop_2026_CN_100m_R2025A_v1.tif,WorldPop G2_CN_POP_R25A_100m KEN 2026 v1; ward_area_km2=97.425; assigned_pixels=10727; polygon_sha256=5554c913ff082f7cc2536c772a9190ca81d3b1a7370d872800ff540ce40f6997; pixel-center aggregation.
